name,molecule_chembl_id,smiles,ic50_nM
CHEMBL3813928,CHEMBL3813928,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC,57.0
CHEMBL4159706,CHEMBL4159706,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,57.0
CHEMBL5172999,CHEMBL5172999,C[C@@]1(c2cccc(Nc3ccccc3)c2Cl)CC(=O)N(C2CCOCC2)C(=N)N1,58.0
CHEMBL3321925,CHEMBL3321925,COc1ccc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC,58.0
CHEMBL3809897,CHEMBL3809897,CC(C)(C)CCNC(=O)CCc1cc2cc(-c3ccccc3C#Cc3ccc(NC(=O)c4ccc(F)cc4)cn3)ccc2nc1N,58.0
CHEMBL5573834,CHEMBL5573834,CC(C)CC(=O)N[C@@H](CCSC(F)(F)F)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C,58.0
CHEMBL2408758,CHEMBL2408758,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(OC(F)(F)F)cc21,59.0
CHEMBL4788309,CHEMBL4788309,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)NC(C)C)ccc2C)cc1OC.O=C(O)C(F)(F)F,59.0
CHEMBL1076905,CHEMBL1076905,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,59.0
CHEMBL5872033,CHEMBL5872033,CC(C)CNC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc2c(c1)OCO2,59.0
CHEMBL104966,CHEMBL104966,CC(C)[C@H](NC(=O)[C@H](NCc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C)C(=O)NCc1ccccc1,60.0
CHEMBL560612,CHEMBL560612,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCOCC4)cc13)N(C)S(=O)(=O)CC2,60.0
CHEMBL190058,CHEMBL190058,CCCCNC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,60.0
CHEMBL212787,CHEMBL212787,COc1cc(C(=O)c2c(OCC(=O)O)ccc3ccccc23)cc(OC)c1OC,60.0
CHEMBL363783,CHEMBL363783,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,60.0
CHEMBL5953100,CHEMBL5953100,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(-c3noc(C)n3)cc2)ccc1F,61.0
CHEMBL4763902,CHEMBL4763902,COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)Nc2cc(S(N)(=O)=O)ccc2C)cc1OC.O=C(O)C(F)(F)F,61.0
CHEMBL4759490,CHEMBL4759490,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,63.0
CHEMBL5856088,CHEMBL5856088,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(F)c(OC)c2)ccc1F,63.0
CHEMBL5191783,CHEMBL5191783,C[C@H]1C[C@@H](N2C(=N)N[C@](C)(c3cccc(Nc4ccc(C5CC5)nc4)c3Cl)CC2=O)CCO1,64.0
CHEMBL5594826,CHEMBL5594826,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@](C)(NC(=O)OCc1ccccc1)C(F)(F)F)C(C)C)[C@@H](O)CC(=O)O,65.0
CHEMBL5907264,CHEMBL5907264,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2OC)ccc1F,66.0
CHEMBL253800,CHEMBL253800,CCCC(CCC)S(=O)(=O)CC(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1,67.0
CHEMBL4586892,CHEMBL4586892,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(C(F)(F)F)c1,67.0
CHEMBL3321927,CHEMBL3321927,COc1ccc(CNC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC,67.0
CHEMBL5905687,CHEMBL5905687,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2cccc(-c3nccs3)c2)cc1OC,67.0
CHEMBL1257772,CHEMBL1257772,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C)cc(C(C)(C)C)c2)CCCCC1,67.0
CHEMBL2408736,CHEMBL2408736,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCN(C)c2ccc(CC(C)(C)C)cc21,68.0
CHEMBL3264805,CHEMBL3264805,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cncc(OC)c2)cc(N2CCCCC2)c1,68.0
CHEMBL4465469,CHEMBL4465469,C[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC1=O,68.0
CHEMBL4755601,CHEMBL4755601,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1cccc(C(F)(F)F)c1.O=C(O)C(F)(F)F,69.0
CHEMBL4778127,CHEMBL4778127,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(Cl)c(Cl)c1.O=C(O)C(F)(F)F,70.0
CHEMBL436104,CHEMBL436104,CCCCNC(=O)[C@@H](NC(=O)[C@H]1[C@H]([C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)CC(=O)N1C)C(C)C,70.0
CHEMBL2408744,CHEMBL2408744,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(C)C#N)cc21,70.0
CHEMBL2181012,CHEMBL2181012,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(C)=O,71.7
CHEMBL6011810,CHEMBL6011810,CCOc1cc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(F)c(OC)c2)ccc1OC,72.0
CHEMBL5995043,CHEMBL5995043,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCC(C)C)cc1OC,72.0
CHEMBL5569502,CHEMBL5569502,CC(C)CC(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CCSC(F)(F)F)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,72.0
CHEMBL2407488,CHEMBL2407488,CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,72.0
CHEMBL6055360,CHEMBL6055360,COc1cc(CNC(=O)[C@@H](CCc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)ccc1F,74.0
CHEMBL2408765,CHEMBL2408765,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(C(C)(C)C)cc21,74.0
CHEMBL5932529,CHEMBL5932529,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(C(F)(F)F)cc2Br)ccc1F,74.0
CHEMBL2408763,CHEMBL2408763,CCCCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(C)=O)CCC2,77.0
CHEMBL2407341,CHEMBL2407341,C=CCc1cccc(C[C@H](NC(=O)c2cc(-c3ccccn3)c(=O)n(CC=C)c2)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ccc(CC)cc32)c1,78.0
CHEMBL5869626,CHEMBL5869626,COc1cccc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1,78.0
CHEMBL5808996,CHEMBL5808996,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCC(C)C)c(F)c1,80.0
CHEMBL584731,CHEMBL584731,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C)NC1,80.0
CHEMBL2408742,CHEMBL2408742,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(C)F)cc21,80.0
CHEMBL3321934,CHEMBL3321934,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(-c3nnn[nH]3)c(F)c2)cc1OC,81.0
CHEMBL3961078,CHEMBL3961078,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)Cc1cccc(NS(C)(=O)=O)c1)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,81.0
CHEMBL3965776,CHEMBL3965776,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,81.0
CHEMBL6016314,CHEMBL6016314,COc1ccc(CCNC(=O)C(Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC,82.0
CHEMBL5871603,CHEMBL5871603,COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1OC,82.0
CHEMBL4786011,CHEMBL4786011,COc1ccc(CC(=O)NC(=N)N[C@@H](C(=O)Nc2cc(S(N)(=O)=O)ccc2C)C2=CCC=CC2)cc1OC.O=C(O)C(F)(F)F,83.0
CHEMBL4777316,CHEMBL4777316,COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)Nc2cc(S(N)(=O)=O)ccc2C)cc1OC.O=C(O)C(F)(F)F,84.0
CHEMBL5904458,CHEMBL5904458,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(F)c(C(F)(F)F)c2)ccc1F,84.0
CHEMBL569608,CHEMBL569608,CS[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,84.0
CHEMBL4756722,CHEMBL4756722,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)N3CCN(C)CC3)ccc2C)cc1OC.O=C(O)C(F)(F)F,86.0
CHEMBL5885980,CHEMBL5885980,COc1cc(C2(NC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc3ccc(OC)c(OC)c3)CC2)ccc1F,86.0
CHEMBL5976816,CHEMBL5976816,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(F)c(-c3nn[nH]n3)c2)cc1OC,88.0
CHEMBL5993400,CHEMBL5993400,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2cccc(-c3nnc(O)o3)c2)cc1OC,89.0
CHEMBL2181021,CHEMBL2181021,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)C(C)C,89.3
CHEMBL570519,CHEMBL570519,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(C(N)=O)C1,90.0
CHEMBL1257891,CHEMBL1257891,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(O)cc(C(C)(C)C)c2)CCCCC1,90.0
CHEMBL5992642,CHEMBL5992642,COc1ccc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2cc(OC)c(OC)cc2Br)cc1OC,90.0
CHEMBL5862488,CHEMBL5862488,COC(=O)c1ccc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1,90.0
CHEMBL190010,CHEMBL190010,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O,90.0
CHEMBL5853534,CHEMBL5853534,COc1cc(F)c(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCC(C)C)c(F)c1,91.0
CHEMBL3321932,CHEMBL3321932,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2cccc(-c3nnn[nH]3)c2)cc1OC,92.0
CHEMBL5763890,CHEMBL5763890,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2cccc(-n3cncn3)c2)cc1OC,93.0
CHEMBL4564735,CHEMBL4564735,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCCOC2)nc1F,93.0
