name,molecule_chembl_id,smiles,ic50_nM
CHEMBL4452510,CHEMBL4452510,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCCCNC1=O,11.0
CHEMBL5791213,CHEMBL5791213,COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)N[C@H]2CCc3ccccc32)cc1OC,11.0
CHEMBL4741771,CHEMBL4741771,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)N(C(C)C)C(C)C)ccc2C)cc1OC.O=C(O)C(F)(F)F,11.0
CHEMBL2031146,CHEMBL2031146,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1CC2(CC(F)(F)C2)Oc2ncc(CC(C)(C)C)cc21,11.0
CHEMBL377149,CHEMBL377149,CCCCNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(C)C,11.0
CHEMBL600326,CHEMBL600326,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)NC2=O,11.0
CHEMBL2181010,CHEMBL2181010,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(NS(C)(=O)=O)cc(C(=O)N[C@H](C)c2ccccc2)c1,11.3
CHEMBL1258001,CHEMBL1258001,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(NS(C)(=O)=O)cc(C(C)(C)C)c2)CCCCC1,12.0
CHEMBL2030994,CHEMBL2030994,CC(=O)N[C@@H](Cc1cccc(F)c1)[C@H](O)CN[C@H]1C[C@]2(C[C@@H](F)C2)Oc2ncc(CC(C)(C)C)cc21,12.0
CHEMBL3899185,CHEMBL3899185,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)Cc1cccc(OC(F)(F)F)c1)C(C)C)C(=O)N[C@H](C(=O)O)C(C)C,12.0
CHEMBL4798170,CHEMBL4798170,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2C)cc1OC.O=C(O)C(F)(F)F,12.0
CHEMBL2408737,CHEMBL2408737,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCOc2ccc(CC(C)(C)C)cc21,12.0
CHEMBL1257184,CHEMBL1257184,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C[Si](C)(C)C)nn2)CCCCC1,12.0
CHEMBL5962285,CHEMBL5962285,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)N[C@@H](C)c2ccc(F)c(-c3nnn[nH]3)c2)cc1OC,13.0
CHEMBL5815252,CHEMBL5815252,COc1ccc(CC(=O)NC(=N)NC(CC2CCCCC2)C(=O)NCc2cccc(S(N)(=O)=O)c2)cc1OC,13.0
CHEMBL2030995,CHEMBL2030995,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1C[C@]2(C[C@H](F)C2)Oc2ncc(CC(C)(C)C)cc21,14.0
CHEMBL1258687,CHEMBL1258687,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)no2)CCCCC1,14.0
CHEMBL4794580,CHEMBL4794580,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(N(S(C)(=O)=O)S(C)(=O)=O)ccc2C)cc1OC.O=C(O)C(F)(F)F,15.0
CHEMBL4474088,CHEMBL4474088,O=C1C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC(=O)[C@H](Cc2ccccc2)N1,15.0
